id,aspect,opinion
126,OPI,还不贵
127,OPI,不错
127,OPI,好用
128,OPI,好用
129,OPI,还可以吧
130,OPI,好些
131,OPI,物美价廉
131,ASP,发货
131,ASP,盒子
131,OPI,很漂亮
132,ASP,活动
133,OPI,不好
134,OPI,一般般
135,ASP,物流
136,OPI,一点
136,ASP,赠品
136,OPI,没有
136,ASP,价格
136,OPI,差不多
137,OPI,好用
137,OPI,超级好用
137,OPI,不干
137,OPI,很舒服
138,OPI,不紧水份多
138,ASP,价格
138,OPI,便宜
139,OPI,大爱大爱
139,OPI,大爱大爱
139,OPI,超级补水
139,OPI,超级划算
139,OPI,五星好评
141,ASP,送货
142,OPI,很好用
142,ASP,补水效果
142,OPI,很好
142,OPI,滋润
142,OPI,服帖
142,OPI,完美
143,OPI,很喜欢
143,ASP,补水
143,OPI,特别好
144,OPI,挺实惠
144,OPI,蛮好用
144,OPI,很滋润
145,ASP,物流
145,OPI,很快
145,OPI,很好用
145,ASP,赠品
146,ASP,物流
146,OPI,杠杠的
146,ASP,包装
146,OPI,不错
147,OPI,特别轻薄
147,OPI,透气
147,OPI,补水
148,OPI,还可以
149,ASP,补水效果
149,OPI,特别好
150,OPI,还可以
150,ASP,吸收效果
150,OPI,不是太好
151,OPI,很好
151,OPI,补水的
152,OPI,好评
153,OPI,不是太喜欢
154,OPI,超级不错
154,OPI,细腻
154,OPI,不起
154,ASP,配送员服务
154,OPI,超好
154,OPI,点赞
155,OPI,搓泥
155,OPI,适合油
155,OPI,适合油性肌肤
156,OPI,经济
156,OPI,实惠
156,ASP,送货速度
157,OPI,很好用
159,ASP,遮暇力度
159,OPI,不油腻
159,ASP,上妆
159,OPI,服帖
159,OPI,超高
159,OPI,喜欢
160,OPI,是正品
161,OPI,不错
162,OPI,很好用
162,OPI,很实惠
163,OPI,挺好
163,ASP,物流
163,OPI,很快
163,ASP,价格
163,OPI,实惠
164,OPI,挺好用的
164,ASP,卸妆
164,OPI,很温和
164,OPI,很清爽
164,OPI,不伤皮肤
165,ASP,包装
165,ASP,十分
165,OPI,不好
166,OPI,很喜欢
166,ASP,物流速度
166,OPI,不错
167,OPI,很喜欢
167,ASP,物流速度
167,OPI,不错
168,OPI,挺好用的
169,OPI,非常不错
169,OPI,实惠
170,OPI,挺好用的
170,OPI,挺滋润的
171,OPI,好评
171,OPI,好用
173,OPI,不怎么好用
174,OPI,收快
174,OPI,超级滋润
174,ASP,活动
174,OPI,给力
175,ASP,包装
175,ASP,盒子
176,OPI,不错
176,OPI,很好闻
176,OPI,很好
178,OPI,有点点卡粉
178,OPI,不咋个
178,ASP,遮瑕
179,OPI,一如既往的好
180,OPI,挺满意的
180,OPI,还不错
180,ASP,补水效果
180,OPI,挺好的
180,OPI,有点紧绷？
181,OPI,超所值
181,OPI,物聊
181,OPI,超快
182,OPI,容易推开
182,OPI,不油腻
183,OPI,很好
183,OPI,不过敏
183,OPI,很保湿
183,OPI,不油腻
184,OPI,还不错
184,ASP,遮盖
184,OPI,挺干的
185,OPI,很好用
185,OPI,正品
186,OPI,不错的
186,OPI,比较优惠
187,OPI,不错
188,ASP,物流速度
188,OPI,是快
188,OPI,非常不错
189,ASP,保湿效果
189,OPI,很好
190,OPI,特别好用
191,OPI,很滋润
191,OPI,不脱妆
191,OPI,挺好用的
192,ASP,价格
192,OPI,合适
192,OPI,不错
193,OPI,很不错
194,OPI,很好用
195,OPI,不错
196,OPI,不是很多
196,ASP,气味
196,OPI,很好
196,OPI,淡淡的
197,OPI,一般
198,ASP,包装盒子
198,OPI,没有
199,OPI,还行
200,OPI,还可以
200,OPI,不紧绷
201,ASP,物流
201,OPI,很快
201,OPI,很满意
201,OPI,还不错
202,OPI,可以的
202,OPI,有些油
203,OPI,很喜欢
203,ASP,送货
203,ASP,送货速度
203,OPI,棒棒的
204,OPI,很喜欢
205,OPI,挺好的
205,ASP,物流
205,OPI,挺快
205,OPI,好评
206,OPI,还可以
207,OPI,很好
207,OPI,贴肤
207,OPI,不卡粉
208,OPI,很精美
208,OPI,很好用
209,OPI,很喜欢
210,OPI,挺好用的
210,ASP,味道
210,OPI,香香的
210,OPI,很滑
210,OPI,很舒服
210,OPI,好评
211,OPI,最好
211,ASP,速度
212,OPI,还贵些
212,ASP,活动
212,OPI,给力
213,ASP,补水效果
213,OPI,特别好
213,OPI,很喜欢
214,OPI,假的
214,ASP,泡沫
214,OPI,没有
215,ASP,效果
215,OPI,不好
215,OPI,好用
216,OPI,不错
217,OPI,非常好用
217,OPI,很干净
218,OPI,很好用
218,OPI,不油腻
219,OPI,不错
219,ASP,快递
219,OPI,超级给力
220,ASP,成分
220,ASP,活动
220,ASP,赠品
221,ASP,包装
221,OPI,挺好看
221,ASP,快递小哥
222,OPI,不错
222,OPI,很多小
222,OPI,喜欢
223,OPI,很便宜
225,OPI,好用的
227,OPI,很好
228,OPI,好用
228,OPI,很方便
229,ASP,速度
229,OPI,飞快
230,OPI,光滑
230,OPI,可以
231,OPI,不过敏
231,OPI,很好用
232,ASP,物流
232,OPI,真心不错
232,OPI,喜欢
233,OPI,很好
233,ASP,物流
233,OPI,很快
233,OPI,便宜
234,OPI,物超所值
234,OPI,好评
236,OPI,还好
237,OPI,水润
237,OPI,轻薄
237,OPI,比较保湿
239,OPI,优惠
240,OPI,很好
240,OPI,很喜欢
241,OPI,不错
242,ASP,补水
242,OPI,还可以
242,ASP,精华液
242,OPI,很多
242,OPI,不错
243,OPI,便宜
244,OPI,一般
245,OPI,不错
245,OPI,非常好用
246,ASP,速度
246,OPI,算是快
247,ASP,服务
247,OPI,很好
247,ASP,性价比
247,OPI,很不错
248,OPI,还不错
249,OPI,很美白
249,ASP,味道
249,OPI,很舒服
249,OPI,很喜欢
250,OPI,挺好的
250,OPI,滋润
250,OPI,不油腻
251,OPI,不错
252,OPI,挺好用的
252,OPI,很服帖
252,OPI,自然
253,OPI,过敏
253,OPI,起红点红斑
253,OPI,非常痛
254,OPI,希望好用
254,OPI,难题
255,OPI,一般
255,OPI,好用
256,OPI,挺好用
256,ASP,精华
256,OPI,好多
257,OPI,方便
257,OPI,快捷
257,OPI,不错
257,ASP,活动
257,OPI,不给力
259,OPI,非常的好用
260,OPI,好小
262,OPI,特便宜
263,OPI,好评
263,OPI,好用
264,OPI,物有所值
266,OPI,还可以
267,OPI,还可以
267,OPI,有点干
267,OPI,没有提亮肤色的
268,OPI,好用
268,OPI,便宜
270,ASP,味道
270,OPI,很奇怪
270,OPI,辣眼睛
271,OPI,很滋润
271,OPI,特别喜欢
272,OPI,美美哒
273,ASP,物流
273,OPI,很快
273,ASP,包装
273,OPI,完好
273,ASP,服务
273,OPI,满意
274,ASP,活动
274,ASP,价格
274,OPI,优惠
274,ASP,补水效果
274,OPI,不错
275,OPI,挺好用的
275,OPI,淡淡的
275,ASP,香味
275,OPI,不脱妆
276,OPI,很好用
278,OPI,很舒服
278,ASP,补水效果
278,OPI,很好
279,OPI,很一般
280,OPI,正品
280,OPI,实惠
280,ASP,快递
280,OPI,很快
280,OPI,满意
281,OPI,真的不错
282,ASP,味道
282,ASP,味道清淡水的泡沫
282,OPI,清淡水的
282,OPI,很细腻
282,OPI,没有
283,OPI,正品
283,OPI,特别省
284,OPI,超级划算
284,ASP,包装
284,OPI,好看
287,OPI,挺好用的
288,OPI,挺好的
289,ASP,物流
289,OPI,很快
289,OPI,棒棒哒
290,OPI,挺好用的
292,ASP,补水效果
292,OPI,很好
293,OPI,很好用
294,OPI,不错
294,OPI,非常清爽
296,OPI,很多
298,OPI,还可以
299,ASP,赠品
299,OPI,最优惠
300,OPI,不错
300,OPI,很服帖
300,ASP,物流
300,OPI,很快
301,OPI,很棒的
301,ASP,价格
302,OPI,不干燥
302,OPI,滑滑的
304,OPI,不错
304,OPI,很舒服
305,OPI,不错
305,OPI,好评
306,OPI,很喜欢
306,ASP,礼品
307,OPI,比较实惠
308,OPI,很好用
309,OPI,不错
310,ASP,快递
310,OPI,真快
310,OPI,很满意
311,ASP,粉底
311,OPI,太少了
311,OPI,很少干干
311,OPI,有粉底
312,OPI,不错
312,OPI,很好用
313,OPI,很香
313,OPI,很白
313,OPI,还可以
314,OPI,不错
314,ASP,遮瑕效果
315,OPI,有点小过
316,OPI,挺好
316,OPI,相当实惠
318,OPI,差评
318,OPI,太小
318,ASP,精华
318,OPI,太少了
319,ASP,上妆效果
319,OPI,还可以
320,OPI,是正品
320,ASP,赠品
321,OPI,很好
321,ASP,保湿
321,OPI,不错
321,ASP,价格
321,OPI,合适
323,OPI,物美价廉
324,ASP,包装
324,OPI,很好看
325,ASP,补水效果
325,OPI,很好
325,OPI,很薄的
326,OPI,强能用
326,ASP,价格
327,ASP,保湿效果
327,OPI,很好
328,OPI,很喜欢
328,OPI,非常喜欢
328,ASP,质量
328,OPI,很高
328,OPI,特别喜欢
329,OPI,不错
329,OPI,挺好用的
331,OPI,真的不错
332,OPI,很服帖
332,OPI,超服帖
333,OPI,很不错
333,OPI,有点淡
334,OPI,提亮肤色
334,OPI,不油腻
334,OPI,清新的感
335,ASP,味道
335,OPI,好闻
335,ASP,保湿效果
336,OPI,不错
336,ASP,速度
336,OPI,很快
337,OPI,不错
337,ASP,速度
337,OPI,很快
338,OPI,不错
338,ASP,速度
338,OPI,很快
339,OPI,不错
339,ASP,速度
339,OPI,很快
341,OPI,很好
341,ASP,物流
341,OPI,给了
341,OPI,不错
342,OPI,很好
342,ASP,物流
342,OPI,给了
342,OPI,不错
343,OPI,给力
343,ASP,速度
344,OPI,有点干
345,OPI,不错
345,ASP,送货
345,OPI,很快
346,OPI,很好
346,OPI,很喜欢
347,OPI,粉嫩嫩的
347,OPI,很适合
347,OPI,非常滋润
347,OPI,不干也不油腻
347,OPI,很自然
348,ASP,泡沫
348,OPI,很多
348,OPI,不干
348,OPI,挺滋润的
348,OPI,超级划算
349,OPI,很实惠
349,ASP,发货速度
349,OPI,很实惠
349,ASP,发货速度
350,OPI,温和
350,OPI,洗后
350,OPI,不紧绷
350,OPI,最大的
351,ASP,大盒
352,OPI,非常平价
352,OPI,补水
352,OPI,不错
353,ASP,酒精味
353,OPI,不联系
354,OPI,还可以
354,OPI,还不错
356,OPI,还不错
358,OPI,很不错
359,OPI,还算可以
361,ASP,味道
361,OPI,很好闻
361,OPI,还好
362,OPI,还不错
362,OPI,挺好用
362,ASP,价格
362,OPI,实惠
363,ASP,保湿效果
363,OPI,非常好
364,OPI,不错
365,OPI,很薄
365,OPI,很水润
365,OPI,不过敏
366,OPI,可以
366,OPI,不错
366,OPI,很清爽
366,OPI,不油腻
367,OPI,淡淡
367,ASP,味道
367,OPI,不辣眼睛
367,OPI,挺好用
368,OPI,还是油
369,OPI,不错
370,ASP,补水效果
370,OPI,非常好
371,ASP,快递
371,OPI,很给力
373,OPI,挺好的
373,OPI,超多
374,OPI,挺好用的
375,OPI,不错
375,OPI,货真价实
376,OPI,挺好用的
377,ASP,物流
377,OPI,颜色好
377,OPI,物超所值
378,ASP,包装
378,OPI,很好
378,ASP,物流
378,OPI,很快
378,OPI,不错
378,OPI,非常物美价廉
379,ASP,快递
379,OPI,真的好快
380,OPI,非常好
381,ASP,到货速度
382,OPI,很好
382,OPI,挺薄的
382,ASP,精华
382,OPI,挺多的
382,OPI,很舒服
383,ASP,价格
383,OPI,实惠
383,OPI,可以
384,OPI,很保湿
385,ASP,提亮效果
385,OPI,还不错
386,OPI,还好吧
386,ASP,日期
386,OPI,新鲜
387,OPI,不错
388,OPI,很好用
389,OPI,还行
389,OPI,比较自然
390,OPI,超喜欢
390,ASP,味道
390,OPI,香香的
390,ASP,快递
390,OPI,很给力
391,OPI,挺滋润的
391,OPI,比较干
391,OPI,很服帖
391,OPI,很滋润
392,OPI,可以
392,OPI,很好用
393,ASP,控油效果
393,OPI,好用
394,OPI,很喜欢
395,OPI,超级润
395,OPI,喜欢
395,OPI,不错
396,OPI,太好用
399,OPI,很自然
399,ASP,质地
399,OPI,保湿
399,OPI,滋润
399,ASP,香味
400,OPI,很好用
400,OPI,很喜欢
401,OPI,好干净
401,OPI,不紧绷
402,ASP,补水功能
402,OPI,强大
403,ASP,保湿效果
403,OPI,确实不错
404,OPI,快递
405,ASP,快递
405,OPI,很给力
405,ASP,包装
405,OPI,很好
405,OPI,还可以
406,OPI,很好用
406,OPI,很喜欢
407,OPI,挺好的
408,OPI,非常舒服
408,OPI,不会特别拔干
409,OPI,很好
409,OPI,非常好
409,OPI,非常好
410,OPI,超级好用
410,ASP,活动
410,OPI,很划算
411,OPI,不上
412,OPI,好评
413,ASP,补水效果
413,OPI,相当不错
413,ASP,精华液
413,OPI,特别多
413,OPI,喜欢
414,OPI,不错
415,OPI,物美价廉
416,OPI,不错
416,OPI,非常清爽
416,OPI,不油腻
417,OPI,不错
417,ASP,活动
417,ASP,物流
417,OPI,很快
418,OPI,还可以
418,ASP,价格
418,OPI,很实惠
419,OPI,还可以
419,ASP,价格
419,OPI,很实惠
420,OPI,很划算
421,OPI,非常喜欢
421,OPI,正品
422,OPI,非常好用
423,OPI,挺好的
423,OPI,挺好用
423,ASP,价格
423,OPI,实惠
424,OPI,是正品
424,OPI,很不错
425,OPI,很不错
426,OPI,很小罐
427,ASP,补水效果
427,OPI,很好
427,OPI,很喜欢
428,OPI,非常不错
429,OPI,非常适合
429,OPI,均衡肤色
430,OPI,蛮好的
430,ASP,精华
430,OPI,挺多的
431,OPI,挺好
431,ASP,味道
431,OPI,好闻
431,OPI,不错
432,OPI,物美价廉
432,OPI,便宜
432,OPI,实惠
432,OPI,可以
433,ASP,酒精味浓
434,ASP,快递小哥服务
434,OPI,很不错
435,OPI,挺喜欢
435,OPI,好评
436,OPI,比较清爽
436,OPI,不油腻
436,ASP,物流
437,OPI,挺不错
438,ASP,物流
438,OPI,超级给力
438,OPI,非常快
438,OPI,非常不错
439,OPI,还不错
440,OPI,很好用
441,OPI,很好用
442,OPI,挺不错的
443,OPI,很不错
443,OPI,好用
444,OPI,不油腻
444,OPI,好评
444,OPI,有点贵
445,OPI,很好
445,OPI,很香
445,OPI,很喜欢
445,OPI,很棒
446,OPI,还可以
446,ASP,精华
446,OPI,挺充足的
446,OPI,接受
447,OPI,很好用
447,OPI,很干净
447,OPI,不紧绷
449,OPI,超级大赞
450,OPI,非常好用
450,OPI,细腻
450,OPI,白皙
450,ASP,味道
450,OPI,特别好闻
451,OPI,很喜欢
452,OPI,非常好用
452,ASP,精华
452,OPI,很多
452,OPI,超棒
453,ASP,物流
453,OPI,很快额
454,OPI,还可以
455,ASP,五分
455,OPI,好评
456,OPI,还可以
456,OPI,挺补水的
457,OPI,不错
457,OPI,很好用
458,OPI,保质期
459,ASP,物流
459,OPI,很快
459,OPI,显白
459,OPI,稍微有点干
460,OPI,满心欢
461,OPI,很好
461,ASP,速度
462,ASP,快递速度
462,OPI,很快
462,OPI,不错
463,ASP,隔离效果
463,OPI,温和
463,OPI,不刺激
464,OPI,挺好的
464,ASP,物流
464,OPI,挺快的
465,OPI,挺好用的
465,ASP,赠品
466,OPI,不错
466,OPI,很好的
467,OPI,很喜欢
468,OPI,不错
469,OPI,不像正品
470,OPI,蛮快
471,OPI,过敏了
471,OPI,非常不愉快
471,ASP,物质
472,OPI,还不错
472,OPI,淡淡的
472,ASP,香味
472,ASP,服务态度
473,OPI,特别好用
473,OPI,很喜欢
474,OPI,保湿
474,OPI,不干
474,OPI,很喜欢
475,OPI,挺好用的
476,ASP,快递
476,OPI,杠杠滴
477,OPI,是正品
477,OPI,特好用
479,OPI,还不错
480,OPI,还不错
480,OPI,很补水
482,OPI,太油了
483,OPI,好评
483,ASP,快递小哥
483,ASP,快递小哥
483,OPI,万个
484,ASP,赠品
485,OPI,润润的
485,OPI,易吸收
485,ASP,香味
485,OPI,很舒服
486,ASP,上妆效果
487,OPI,赞一个
488,OPI,真心不错
489,OPI,挺好用的
489,ASP,吸收
489,OPI,挺快的
490,OPI,不好
492,ASP,服务态度
492,OPI,很好
493,OPI,很好用
493,ASP,活动
493,OPI,很划算
494,OPI,不错
495,OPI,特别好
495,OPI,非常喜欢
496,ASP,包装
497,OPI,很好
497,OPI,很好
499,OPI,还好
500,OPI,还行
501,OPI,很好用
502,OPI,很好用
503,OPI,还不错
504,OPI,是正品
504,OPI,很好
505,OPI,涂着不舒服
505,ASP,酒精味
506,ASP,活动
507,OPI,可以啊
507,OPI,提好用
508,OPI,很好用
508,OPI,还不错
509,OPI,还不错
510,OPI,确实不错
511,OPI,很好用
511,OPI,滑滑的
512,ASP,保湿效果
512,OPI,不错
512,ASP,粉质
512,OPI,细腻
513,OPI,是正品
514,OPI,不错
514,OPI,喜欢
515,OPI,不错
516,OPI,还不错
516,OPI,很不错
517,OPI,好用
517,OPI,过年美美哒
518,OPI,清爽爽
518,OPI,不油腻
519,ASP,包装
519,OPI,很满意
519,ASP,物流
519,OPI,很快
519,OPI,很好用
520,ASP,包装
520,OPI,比较优惠
520,ASP,物流
520,ASP,配送员服务
521,ASP,包装
521,OPI,比较优惠
521,ASP,物流
521,ASP,配送员服务
522,OPI,好用
523,OPI,挺好的
523,OPI,很实惠
525,OPI,还不错
526,OPI,很多
527,OPI,很爱起泡沫
527,ASP,泡沫
527,OPI,很细腻
527,OPI,很温和
527,ASP,味道
527,OPI,很好闻
527,OPI,正品
528,OPI,假的
529,ASP,塑料味
530,OPI,很好
532,OPI,可以
534,ASP,味道
534,OPI,很好
534,OPI,容易推开
535,OPI,便宜
535,OPI,很好
535,OPI,不过敏
535,OPI,好用
536,OPI,很自然
536,OPI,不错
537,OPI,不错
538,OPI,还不错
538,ASP,价格
538,OPI,实惠
538,ASP,性价比
538,OPI,不错
539,OPI,挺好的
539,OPI,很正
539,OPI,方便
540,OPI,好评
541,ASP,垃圾
542,OPI,还行
542,OPI,不是很白
542,ASP,味道
542,OPI,可以
542,OPI,很难洗下
543,ASP,性价比
543,OPI,非常高
543,ASP,物流
543,OPI,非常快
544,OPI,不错
544,OPI,一般
544,OPI,较自然
545,OPI,太温和
545,OPI,滑滑的
546,OPI,不错
546,ASP,收货
546,OPI,不错
546,OPI,挺好的
547,ASP,补水
547,OPI,保湿
547,OPI,清爽
547,OPI,不油腻
548,OPI,巨坑
548,OPI,降价
548,OPI,那么快
549,OPI,补水
549,OPI,不错
550,ASP,包装
550,OPI,很简陋
551,ASP,补水效果
551,OPI,不错
553,OPI,很满意
554,ASP,物流
555,ASP,物流
555,OPI,值得信赖
555,OPI,很满意
556,OPI,不好
556,OPI,过敏
556,ASP,清洁能力
556,ASP,香味
557,OPI,物廉价美
558,ASP,味道
558,OPI,很难形
558,OPI,很讨厌
559,OPI,很好用
559,OPI,不卡粉
559,ASP,上装
559,OPI,很自然
559,OPI,滑滑的
559,OPI,很喜欢
560,OPI,还不错
560,OPI,挺滋润
561,ASP,包装
561,OPI,很精致
561,ASP,态度
561,OPI,一切
561,OPI,挺好的
562,ASP,包装
562,OPI,很精致
562,ASP,态度
562,OPI,一切
562,OPI,挺好的
563,ASP,快递
563,OPI,很快
563,OPI,很好
563,OPI,极力推荐
564,OPI,很好用
565,OPI,不错
566,OPI,不怎么好用
567,ASP,精华
567,OPI,很多
567,OPI,很舒服
568,OPI,吸收
571,OPI,不错
572,OPI,还可以
572,ASP,包装
572,OPI,很不错
572,OPI,好的
573,OPI,不怎么的好
574,OPI,挺好的
574,OPI,蛮好用
574,OPI,稍微味道大点
574,OPI,不错
575,OPI,不是很白
575,OPI,不是遮暇的
575,OPI,太差劲了
576,OPI,比较大
576,OPI,不适合
576,OPI,太白了
577,OPI,很不错
578,OPI,不好用
579,OPI,很好
579,OPI,不错
579,OPI,很适用
579,ASP,气味
579,OPI,很清香
580,OPI,好划算
581,OPI,正不敢用
582,OPI,蛮好的
583,OPI,非常的好用
583,OPI,细腻
583,OPI,温和
583,OPI,不刺激
584,OPI,挺干的
584,ASP,持妆效果
584,OPI,还可以
585,OPI,特别好用
586,OPI,很好
586,OPI,不错
587,OPI,挺不错身
588,OPI,好用
588,OPI,滑滑的
588,ASP,保湿效果
588,OPI,很好
589,OPI,很满意
589,OPI,非常高兴
589,OPI,很不错
590,OPI,无不适感
590,OPI,透气好
590,OPI,满意
591,OPI,比较便宜
591,ASP,盒子
591,OPI,粗糙
592,OPI,很好
592,OPI,很喜欢
593,OPI,很不错
594,OPI,挺香的
596,OPI,好用
596,OPI,特别润
596,ASP,补水效果
596,OPI,不心疼
597,ASP,包装
597,OPI,比较高大上
597,ASP,包装
597,OPI,太土了
598,OPI,好用
598,OPI,不刺激
599,ASP,包装
599,OPI,很漂亮
599,OPI,喜欢
599,OPI,应该不错
600,ASP,保湿效果
600,OPI,不错
601,ASP,速度
601,OPI,飞快
601,OPI,挺细腻
602,OPI,好评
603,OPI,很好
605,OPI,挺白的
605,ASP,隔离效果
605,OPI,不好
606,OPI,可以
606,OPI,挺好的
607,OPI,喜欢
607,OPI,不油腻
607,OPI,细腻
607,OPI,均匀
607,OPI,很自然
608,OPI,还不错
608,OPI,很自然
608,OPI,很香
608,ASP,赠品
610,ASP,保湿效果
610,OPI,不错
610,OPI,很舒服
610,OPI,真心不错
611,OPI,非常不错
611,ASP,去气色
611,OPI,很自然
611,OPI,保湿
612,OPI,好用
612,OPI,涂少
612,OPI,很自然
612,OPI,耐用
612,OPI,好评
613,OPI,非常好
613,OPI,非常快
613,OPI,非常值
614,OPI,不错
614,OPI,一直用
614,OPI,方便
615,OPI,挺好
615,OPI,很补水
615,ASP,精华
615,OPI,很多
615,ASP,价格
615,OPI,实惠
616,OPI,超级好
616,OPI,少了
616,OPI,很好闻
616,OPI,喜欢
617,ASP,包装
617,OPI,非常好的
618,OPI,真假
618,ASP,价格
618,OPI,有点贵
620,OPI,不错
622,OPI,还不错
623,OPI,很喜欢
624,ASP,价格
624,OPI,好划算
624,ASP,补水效果
624,OPI,挺好的
625,OPI,不好用
626,OPI,很好
627,OPI,还不错
627,OPI,挺好
628,OPI,特优惠
629,ASP,保湿效果
629,OPI,非常好
631,OPI,划算
631,OPI,很舒服
631,OPI,很推荐
632,OPI,很好用
633,ASP,香味
633,OPI,浓郁
634,ASP,活动
634,OPI,物美价廉
634,ASP,物流
634,OPI,非常满意
635,OPI,很不错的
